Typ;Nr.;Gemeinde;2022;2020;2015;2010;2005;2000;1990;1980
LN - Dauerkulturen (in ha);365;>> Verwaltungskreis Bern-Mittelland;212;238;226;186;154;170;172;160
LN - Dauerkulturen (in ha);366;......0307 Meikirch;4;4;2;1;1;2;2;1
LN - Dauerkulturen (in ha);367;......0351 Bern;1;4;2;5;8;16;6;14
LN - Dauerkulturen (in ha);368;......0352 Bolligen;11;10;12;11;11;10;6;12
LN - Dauerkulturen (in ha);369;......0353 Bremgarten bei Bern;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);370;......0354 Kirchlindach;2;2;2;2;0;0;1;0
LN - Dauerkulturen (in ha);371;......0355 Köniz;4;4;10;6;6;6;4;8
LN - Dauerkulturen (in ha);372;......0356 Muri bei Bern;2;2;4;0;0;1;1;3
LN - Dauerkulturen (in ha);373;......0357 Oberbalm;0;0;0;0;0;0;2;3
LN - Dauerkulturen (in ha);374;......0358 Stettlen;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);375;......0359 Vechigen;6;5;5;5;4;5;5;6
LN - Dauerkulturen (in ha);376;......0360 Wohlen bei Bern;13;13;13;15;15;16;9;7
LN - Dauerkulturen (in ha);377;......0361 Zollikofen;0;0;0;0;1;1;2;2
LN - Dauerkulturen (in ha);378;......0362 Ittigen;0;0;0;0;0;0;3;0
LN - Dauerkulturen (in ha);379;......0363 Ostermundigen;0;0;1;1;1;4;7;0
LN - Dauerkulturen (in ha);380;......0403 Bäriswil;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);381;......0535 Deisswil bei Münchenbuchsee;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);382;......0538 Fraubrunnen;6;6;12;6;4;5;6;5
LN - Dauerkulturen (in ha);383;......0540 Jegenstorf;0;1;1;0;0;0;1;2
LN - Dauerkulturen (in ha);384;......0541 Iffwil;3;3;3;3;0;0;0;0
LN - Dauerkulturen (in ha);385;......0543 Mattstetten;2;2;0;0;0;0;0;0
LN - Dauerkulturen (in ha);386;......0544 Moosseedorf;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);387;......0546 Münchenbuchsee;6;4;4;2;1;1;2;1
LN - Dauerkulturen (in ha);388;......0551 Urtenen-Schönbühl;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);389;......0553 Wiggiswil;0;0;0;0;1;2;0;0
LN - Dauerkulturen (in ha);390;......0557 Zuzwil (BE);0;0;0;0;0;0;0;2
LN - Dauerkulturen (in ha);391;......0602 Arni (BE);0;0;1;1;2;2;0;0
LN - Dauerkulturen (in ha);392;......0603 Biglen;1;0;1;1;1;0;0;1
LN - Dauerkulturen (in ha);393;......0605 Bowil;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);394;......0606 Brenzikofen;1;1;1;2;1;2;2;2
LN - Dauerkulturen (in ha);395;......0607 Freimettigen;1;1;0;2;1;1;0;0
LN - Dauerkulturen (in ha);396;......0608 Grosshöchstetten;1;1;12;11;12;10;8;6
LN - Dauerkulturen (in ha);397;......0609 Häutligen;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);398;......0610 Herbligen;1;1;1;0;0;1;0;0
LN - Dauerkulturen (in ha);399;......0611 Kiesen;1;1;0;0;0;0;1;2
LN - Dauerkulturen (in ha);400;......0612 Konolfingen;1;1;1;1;1;1;1;2
LN - Dauerkulturen (in ha);401;......0613 Landiswil;0;0;0;0;3;1;1;1
LN - Dauerkulturen (in ha);402;......0614 Linden;1;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);403;......0615 Mirchel;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);404;......0616 Münsingen;29;49;47;37;26;14;24;11
LN - Dauerkulturen (in ha);405;......0617 Niederhünigen;0;0;0;0;0;1;1;1
LN - Dauerkulturen (in ha);406;......0619 Oberdiessbach;0;0;0;0;0;1;2;1
LN - Dauerkulturen (in ha);407;......0620 Oberthal;0;0;0;0;1;1;1;1
LN - Dauerkulturen (in ha);408;......0622 Oppligen;1;1;1;1;1;2;6;2
LN - Dauerkulturen (in ha);409;......0623 Rubigen;0;0;0;0;1;1;5;11
LN - Dauerkulturen (in ha);410;......0626 Walkringen;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);411;......0627 Worb;4;5;4;3;2;6;5;5
LN - Dauerkulturen (in ha);412;......0628 Zäziwil;8;10;3;3;3;3;0;0
LN - Dauerkulturen (in ha);413;......0629 Oberhünigen;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);414;......0630 Allmendingen;4;4;4;2;1;1;0;0
LN - Dauerkulturen (in ha);415;......0632 Wichtrach;3;4;6;6;6;10;4;2
LN - Dauerkulturen (in ha);416;......0662 Ferenbalm;0;0;0;0;0;0;0;3
LN - Dauerkulturen (in ha);417;......0663 Frauenkappelen;5;8;6;5;3;5;5;3
LN - Dauerkulturen (in ha);418;......0665 Gurbrü;8;7;3;0;0;0;0;0
LN - Dauerkulturen (in ha);419;......0666 Kriechenwil;0;1;1;0;0;0;0;0
