Typ;Nr.;Gemeinde;2020;2015;2010;2005;2000;1996;1990;1985;1980;1975
Tiere - Rinder;366;......0307 Meikirch;951;1090;1034;977;1034;997;1210;1164;1184;1117
Tiere - Rinder;367;......0351 Bern;1027;1189;1176;1171;1413;1584;1851;1941;2026;2053
Tiere - Rinder;368;......0352 Bolligen;1317;1397;1168;1070;1239;1356;1450;1386;1867;0
Tiere - Rinder;369;......0353 Bremgarten bei Bern;89;96;107;95;92;94;109;102;153;160
Tiere - Rinder;370;......0354 Kirchlindach;1776;1687;1651;1333;1421;1488;1343;1410;1459;1427
Tiere - Rinder;371;......0355 Köniz;4148;4426;4562;4045;4081;4441;5009;5111;5301;5058
Tiere - Rinder;372;......0356 Muri bei Bern;154;141;204;284;317;355;376;419;564;585
Tiere - Rinder;373;......0357 Oberbalm;1598;1654;1680;1651;1563;1771;1789;1670;1771;1715
Tiere - Rinder;374;......0358 Stettlen;267;266;246;241;270;276;334;391;381;452
Tiere - Rinder;375;......0359 Vechigen;2157;2407;2580;2482;2418;2999;3064;2957;2975;2958
Tiere - Rinder;376;......0360 Wohlen bei Bern;2648;2813;2949;2476;2656;2781;2945;3063;3213;3550
Tiere - Rinder;377;......0361 Zollikofen;909;804;361;349;349;374;290;421;460;501
Tiere - Rinder;378;......0362 Ittigen;293;232;92;262;136;155;208;187;0;0
Tiere - Rinder;379;......0363 Ostermundigen;153;210;242;175;185;215;107;241;0;1833
Tiere - Rinder;380;......0403 Bäriswil;64;72;69;74;106;149;184;181;184;208
Tiere - Rinder;381;......0535 Deisswil bei Münchenbuchsee;125;128;121;121;149;160;161;180;174;190
Tiere - Rinder;382;......0538 Fraubrunnen;1941;2259;2094;1943;2010;2285;2838;2922;3247;2923
Tiere - Rinder;383;......0540 Jegenstorf;767;856;902;749;892;1046;1105;1108;1222;1177
Tiere - Rinder;384;......0541 Iffwil;162;206;233;249;264;349;396;341;408;429
Tiere - Rinder;385;......0543 Mattstetten;237;71;82;105;213;287;386;426;431;375
Tiere - Rinder;386;......0544 Moosseedorf;280;330;182;219;233;344;349;374;416;407
Tiere - Rinder;387;......0546 Münchenbuchsee;519;574;515;565;519;704;892;883;929;975
Tiere - Rinder;388;......0551 Urtenen-Schönbühl;181;173;232;198;274;390;482;496;568;540
Tiere - Rinder;389;......0553 Wiggiswil;126;242;252;202;154;175;193;216;192;215
