"","time","runoff"
"1",1923-01-01,4.72
"2",1923-01-02,4.06
"3",1923-01-03,4.42
"4",1923-01-04,3.13
"5",1923-01-05,2.93
"6",1923-01-06,2.79
"7",1923-01-07,2.58
"8",1923-01-08,2.51
"9",1923-01-09,4.36
"10",1923-01-10,3.84
"11",1923-01-11,3.7
"12",1923-01-12,4.42
"13",1923-01-13,4.42
"14",1923-01-14,3.14
"15",1923-01-15,2.79
"16",1923-01-16,2.72
"17",1923-01-17,2.51
"18",1923-01-18,2.38
"19",1923-01-19,2.24
"20",1923-01-20,2.1
"21",1923-01-21,1.99
"22",1923-01-22,1.99
"23",1923-01-23,1.99
"24",1923-01-24,1.87
"25",1923-01-25,2.04
"26",1923-01-26,1.93
"27",1923-01-27,1.93
"28",1923-01-28,1.7
"29",1923-01-29,1.81
"30",1923-01-30,1.81
"31",1923-01-31,1.87
"32",1923-02-01,2.93
"33",1923-02-02,4.28
"34",1923-02-03,3.49
"35",1923-02-04,2.86
"36",1923-02-05,2.93
"37",1923-02-06,2.79
"38",1923-02-07,2.65
"39",1923-02-08,2.51
"40",1923-02-09,2.72
"41",1923-02-10,3.35
"42",1923-02-11,4.58
"43",1923-02-12,4.43
"44",1923-02-13,4.21
"45",1923-02-14,3.77
"46",1923-02-15,4.42
"47",1923-02-16,3.14
"48",1923-02-17,3.07
"49",1923-02-18,3.35
"50",1923-02-19,5.94
"51",1923-02-20,4.58
"52",1923-02-21,3.84
"53",1923-02-22,3.56
"54",1923-02-23,3.21
"55",1923-02-24,2.86
"56",1923-02-25,2.44
"57",1923-02-26,2.72
"58",1923-02-27,4.95
"59",1923-02-28,3.7
"60",1923-03-01,3.49
"61",1923-03-02,3.35
"62",1923-03-03,3.84
"63",1923-03-04,3.21
"64",1923-03-05,2.93
"65",1923-03-06,2.93
"66",1923-03-07,3.07
"67",1923-03-08,3.07
"68",1923-03-09,3.07
"69",1923-03-10,3.28
"70",1923-03-11,3.42
"71",1923-03-12,3.14
"72",1923-03-13,2.93
"73",1923-03-14,2.72
"74",1923-03-15,2.65
"75",1923-03-16,2.51
"76",1923-03-17,2.65
"77",1923-03-18,2.86
"78",1923-03-19,3
"79",1923-03-20,3.07
"80",1923-03-21,3.35
"81",1923-03-22,3.7
"82",1923-03-23,3.77
"83",1923-03-24,3.63
"84",1923-03-25,3.92
"85",1923-03-26,3.77
"86",1923-03-27,3.63
