"year","type","Other Animals","Poultry","Pigs","Goats","Sheep","Equine","Cattle"
1975,"observed",871.944074543,64883.553942463,11267.323613692,232.435760752,800.946035958,578.486875256,13420.983350893
1980,"observed",3382.906232842,91632.961026209,11340.419792878,301.154286846,1173.744472231,456.495378288,13807.128237933
1985,"observed",3103.247546952,65556.301978117,10822.964393539,303.628022927,1183.44109325,425.200037127,13558.088538975
1990,"observed",2058.499286909,67075.082582827,9070.397452214,308.042318287,2141.336672259,415.343974101,14795.975198263
1996,"observed",113.565009305,67315.140018953,7259.475650932,313.115399557,2514.387840198,465.861510461,13196.396634424
2000,"observed",638.767010058,88072.534417723,7146.821568921,425.415219068,2398.721622435,420.740995665,12420.002022926
2005,"observed",801.11817836,84452.425653035,8488.765315299,610.63317966,2922.461140881,403.098474939,12468.418251207
2010,"observed",1906.058748357,67483.659159804,9833.126032449,760.362498117,3279.510263209,388.554493026,12326.083229594
2015,"observed",2549.813575359,83937.961170101,8833.795346107,832.696330015,2673.979235767,422.626574559,11665.344507593
2020,"observed",682.556331167,81489.404601395,8735.270094676,937.200135468,2345.67864107,481.490697816,11214.62588424
2025,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,944.792398934904,3383.39172429538,481.490697816,11268.4776536564
2030,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1025.50847263293,3609.66380870588,481.490697816,10973.0712792133
2035,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1106.22454633096,3835.93589311639,481.490697816,10677.6649047701
2040,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1186.94062002899,4062.20797752691,481.490697816,10382.258530327
2045,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1267.65669372702,4288.48006193741,481.490697816,10086.8521558839
2050,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2055,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2060,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2065,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2070,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2075,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2080,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2085,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2090,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2095,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
2100,"extrapolated",1610.8475993852,76189.9024550627,8735.270094676,1348.37276742505,4514.75214634792,481.490697816,9791.44578144071
