"zp_kc_ini";"zp_kc_mid";"zp_kc_end_mid";"zp_kc_late";"kc_ini";"kc_mid";"kc_end";"zp_planting";"m_dev";"b_dev";"m_late";"b_late"
"Silo- und Grünmais";136;176;226;276;1;1.2;0.5;106;0.005;0.32;-0.014;4.364
"Einjährige Freilandgemüse, ohne Konservengemüse";141;196;246;286;1;1.2;1;106;0.00363636363636364;0.487272727272727;-0.005;2.43
"Zuckerrüben";141;196;246;286;1;1.2;1;106;0.00363636363636364;0.487272727272727;-0.005;2.43
"Übrige Kulturen";141;196;246;286;1;1.13;0.43;106;0.00236363636363636;0.666727272727273;-0.0175;5.435
"Körnermais";136;176;226;276;1;1.2;0.5;106;0.005;0.32;-0.014;4.364
"Sonnenblumen zur Speiseölgewinnung";131;176;231;256;1;1;0.35;106;0;1;-0.026;7.006
"Futterrüben";141;196;246;286;1;1.2;1;106;0.00363636363636364;0.487272727272727;-0.005;2.43
"Eiweisserbsen zu Futterzwecken";141;176;206;226;1;1.15;1.1;106;0.00428571428571428;0.395714285714286;-0.00249999999999999;1.665
"Spargel";196;226;426;471;1;0.95;0.3;106;-0.00166666666666667;1.32666666666667;-0.0144444444444444;7.10333333333333
"Winterraps zur Speiseölgewinnung";398;453;508;548;1;1;0.25;228;0;1;-0.01875;10.525
"Hochstamm-Feldobstbäume (Punkte oder Flächen)";95;165;255;285;1;0.95;0.7;75;-0.000714285714285715;1.06785714285714;-0.00833333333333333;3.075
"Obstanlagen (Äpfel)";95;165;255;285;1;0.95;0.7;75;-0.000714285714285715;1.06785714285714;-0.00833333333333333;3.075
"Kartoffeln";166;201;251;276;1;1.15;0.5;136;0.00428571428571428;0.288571428571429;-0.026;7.676
"Winterweizen (ohne Futterweizen der Sortenliste swiss granum)";449;504;559;579;1;1.15;0.25;289;0.00272727272727273;-0.224545454545454;-0.045;26.305
"Hafer";449;504;559;579;1;1.1;0.15;289;0.00181818181818182;0.183636363636363;-0.0475;27.6525
